step,env_id,cutoff_hz,input_action,output_action
155,2,10.0,1.0,1.0
155,3,20.0,1.0,1.0
156,0,2.0,1.0,0.999999463558197
156,1,5.0,1.0,0.9999999403953552
156,2,10.0,1.0,1.0
156,3,20.0,1.0,1.0
157,0,2.0,1.0,0.9999995231628418
157,1,5.0,1.0,0.9999999403953552
157,2,10.0,1.0,1.0
157,3,20.0,1.0,1.0
158,0,2.0,1.0,0.9999995827674866
158,1,5.0,1.0,0.9999999403953552
158,2,10.0,1.0,1.0
158,3,20.0,1.0,1.0
159,0,2.0,1.0,0.9999996423721313
159,1,5.0,1.0,0.9999999403953552
159,2,10.0,1.0,1.0
159,3,20.0,1.0,1.0
160,0,2.0,1.0,0.9999997019767761
160,1,5.0,1.0,0.9999999403953552
160,2,10.0,1.0,1.0
160,3,20.0,1.0,1.0
161,0,2.0,1.0,0.9999997615814209
161,1,5.0,1.0,0.9999999403953552
161,2,10.0,1.0,1.0
161,3,20.0,1.0,1.0
162,0,2.0,1.0,0.9999998211860657
162,1,5.0,1.0,0.9999999403953552
162,2,10.0,1.0,1.0
162,3,20.0,1.0,1.0
163,0,2.0,1.0,0.9999998211860657
163,1,5.0,1.0,0.9999999403953552
163,2,10.0,1.0,1.0
163,3,20.0,1.0,1.0
164,0,2.0,1.0,0.9999998211860657
164,1,5.0,1.0,0.9999999403953552
164,2,10.0,1.0,1.0
164,3,20.0,1.0,1.0
165,0,2.0,1.0,0.9999998211860657
165,1,5.0,1.0,0.9999999403953552
165,2,10.0,1.0,1.0
165,3,20.0,1.0,1.0
166,0,2.0,1.0,0.9999998211860657
166,1,5.0,1.0,0.9999999403953552
166,2,10.0,1.0,1.0
166,3,20.0,1.0,1.0
167,0,2.0,1.0,0.9999998211860657
167,1,5.0,1.0,0.9999999403953552
167,2,10.0,1.0,1.0
167,3,20.0,1.0,1.0
168,0,2.0,1.0,0.9999998211860657
168,1,5.0,1.0,0.9999999403953552
168,2,10.0,1.0,1.0
168,3,20.0,1.0,1.0
169,0,2.0,1.0,0.9999998211860657
169,1,5.0,1.0,0.9999999403953552
169,2,10.0,1.0,1.0
169,3,20.0,1.0,1.0
170,0,2.0,1.0,0.9999998211860657
170,1,5.0,1.0,0.9999999403953552
170,2,10.0,1.0,1.0
170,3,20.0,1.0,1.0
171,0,2.0,1.0,0.9999998211860657
171,1,5.0,1.0,0.9999999403953552
171,2,10.0,1.0,1.0
171,3,20.0,1.0,1.0
172,0,2.0,1.0,0.9999998211860657
172,1,5.0,1.0,0.9999999403953552
172,2,10.0,1.0,1.0
172,3,20.0,1.0,1.0
173,0,2.0,1.0,0.9999998211860657
173,1,5.0,1.0,0.9999999403953552
173,2,10.0,1.0,1.0
173,3,20.0,1.0,1.0
174,0,2.0,1.0,0.9999998211860657
174,1,5.0,1.0,0.9999999403953552
174,2,10.0,1.0,1.0
174,3,20.0,1.0,1.0
175,0,2.0,1.0,0.9999998211860657
175,1,5.0,1.0,0.9999999403953552
175,2,10.0,1.0,1.0
175,3,20.0,1.0,1.0
176,0,2.0,1.0,0.9999998211860657
176,1,5.0,1.0,0.9999999403953552
176,2,10.0,1.0,1.0
176,3,20.0,1.0,1.0
177,0,2.0,1.0,0.9999998211860657
177,1,5.0,1.0,0.9999999403953552
177,2,10.0,1.0,1.0
177,3,20.0,1.0,1.0
178,0,2.0,1.0,0.9999998211860657
178,1,5.0,1.0,0.9999999403953552
178,2,10.0,1.0,1.0
178,3,20.0,1.0,1.0
179,0,2.0,1.0,0.9999998211860657
179,1,5.0,1.0,0.9999999403953552
179,2,10.0,1.0,1.0
179,3,20.0,1.0,1.0
180,0,2.0,1.0,0.9999998211860657
180,1,5.0,1.0,0.9999999403953552
180,2,10.0,1.0,1.0
180,3,20.0,1.0,1.0
181,0,2.0,1.0,0.9999998211860657
181,1,5.0,1.0,0.9999999403953552
181,2,10.0,1.0,1.0
181,3,20.0,1.0,1.0
182,0,2.0,1.0,0.9999998211860657
182,1,5.0,1.0,0.9999999403953552
182,2,10.0,1.0,1.0
182,3,20.0,1.0,1.0
183,0,2.0,1.0,0.9999998211860657
183,1,5.0,1.0,0.9999999403953552
183,2,10.0,1.0,1.0
183,3,20.0,1.0,1.0
184,0,2.0,1.0,0.9999998211860657
184,1,5.0,1.0,0.9999999403953552
184,2,10.0,1.0,1.0
184,3,20.0,1.0,1.0
185,0,2.0,1.0,0.9999998211860657
185,1,5.0,1.0,0.9999999403953552
185,2,10.0,1.0,1.0
185,3,20.0,1.0,1.0
186,0,2.0,1.0,0.9999998211860657
186,1,5.0,1.0,0.9999999403953552
