step,env_id,time_s,warmup_factor
59,4,0.59,1.0497803688049316
59,5,0.59,1.0662763118743896
59,6,0.59,1.005597710609436
59,7,0.59,1.0404282808303833
60,0,0.6,1.082519292831421
60,1,0.6,1.0021655559539795
60,2,0.6,1.0517964363098145
60,3,0.6,1.0368400812149048
60,4,0.6,1.0487946271896362
60,5,0.6,1.064963936805725
60,6,0.6,1.0054868459701538
60,7,0.6,1.0396277904510498
61,0,0.61,1.0808852910995483
61,1,0.61,1.0021226406097412
61,2,0.61,1.0507707595825195
61,3,0.61,1.0361106395721436
61,4,0.61,1.0478284358978271
61,5,0.61,1.0636775493621826
61,6,0.61,1.005378246307373
61,7,0.61,1.0388431549072266
62,0,0.62,1.0792837142944336
62,1,0.62,1.0020805597305298
62,2,0.62,1.0497654676437378
62,3,0.62,1.035395622253418
62,4,0.62,1.0468813180923462
62,5,0.62,1.062416672706604
62,6,0.62,1.0052717924118042
62,7,0.62,1.038074016571045
63,0,0.63,1.0777138471603394
63,1,0.63,1.0020393133163452
63,2,0.63,1.048780083656311
63,3,0.63,1.034694790840149
63,4,0.63,1.0459530353546143
63,5,0.63,1.0611807107925415
63,6,0.63,1.0051673650741577
63,7,0.63,1.0373201370239258
64,0,0.64,1.0761749744415283
64,1,0.64,1.0019989013671875
64,2,0.64,1.047814130783081
64,3,0.64,1.0340077877044678
64,4,0.64,1.0450431108474731
64,5,0.64,1.0599693059921265
64,6,0.64,1.0050650835037231
64,7,0.64,1.0365811586380005
65,0,0.65,1.0746666193008423
65,1,0.65,1.0019593238830566
65,2,0.65,1.0468673706054688
65,3,0.65,1.0333343744277954
65,4,0.65,1.0441511869430542
65,5,0.65,1.0587818622589111
65,6,0.65,1.004964828491211
65,7,0.65,1.03585684299469
66,0,0.66,1.073188066482544
66,1,0.66,1.0019205808639526
66,2,0.66,1.045939326286316
66,3,0.66,1.0326743125915527
66,4,0.66,1.0432769060134888
66,5,0.66,1.0576179027557373
66,6,0.66,1.0048664808273315
66,7,0.66,1.0351468324661255
67,0,0.67,1.071738839149475
67,1,0.67,1.001882553100586
67,2,0.67,1.045029640197754
67,3,0.67,1.0320273637771606
67,4,0.67,1.0424199104309082
67,5,0.67,1.0564769506454468
67,6,0.67,1.0047701597213745
67,7,0.67,1.034450888633728
68,0,0.68,1.070318341255188
68,1,0.68,1.0018452405929565
68,2,0.68,1.044137954711914
68,3,0.68,1.0313931703567505
68,4,0.68,1.0415799617767334
68,5,0.68,1.055358648300171
68,6,0.68,1.0046757459640503
68,7,0.68,1.0337687730789185
69,0,0.69,1.0689259767532349
69,1,0.69,1.0018086433410645
69,2,0.69,1.0432639122009277
69,3,0.69,1.0307714939117432
69,4,0.69,1.0407565832138062
69,5,0.69,1.0542625188827515
69,6,0.69,1.0045831203460693
69,7,0.69,1.0331001281738281
70,0,0.7,1.067561149597168
70,1,0.7,1.0017728805541992
70,2,0.7,1.0424072742462158
70,3,0.7,1.0301622152328491
70,4,0.7,1.0399495363235474
70,5,0.7,1.0531880855560303
70,6,0.7,1.0044924020767212
70,7,0.7,1.032444715499878
71,0,0.71,1.066223382949829
71,1,0.71,1.0017378330230713
71,2,0.71,1.0415675640106201
71,3,0.71,1.0295649766921997
71,4,0.71,1.0391584634780884
71,5,0.71,1.0521348714828491
71,6,0.71,1.0044034719467163
71,7,0.71,1.0318022966384888
72,0,0.72,1.0649120807647705
72,1,0.72,1.0017033815383911
72,2,0.72,1.040744423866272
72,3,0.72,1.0289795398712158
72,4,0.72,1.03838312625885
72,5,0.72,1.0511025190353394
72,6,0.72,1.0043163299560547
72,7,0.72,1.031172513961792
73,0,0.73,1.063626766204834
73,1,0.73,1.0016696453094482
73,2,0.73,1.0399376153945923
73,3,0.73,1.0284056663513184
73,4,0.73,1.0376230478286743
73,5,0.73,1.0500906705856323
73,6,0.73,1.0042308568954468
73,7,0.73,1.030555248260498
74,0,0.74,1.0623668432235718
74,1,0.74,1.0016366243362427
74,2,0.74,1.0391467809677124
74,3,0.74,1.0278432369232178
74,4,0.74,1.0368781089782715
74,5,0.74,1.0490988492965698
74,6,0.74,1.0041470527648926
74,7,0.74,1.0299502611160278
75,0,0.75,1.0611319541931152
75,1,0.75,1.0016041994094849
75,2,0.75,1.0383715629577637
75,3,0.75,1.0272918939590454
75,4,0.75,1.0361478328704834
75,5,0.75,1.0481265783309937
75,6,0.75,1.004064917564392
75,7,0.75,1.0293571949005127
76,0,0.76,1.0599215030670166
76,1,0.76,1.0015724897384644
76,2,0.76,1.037611722946167
76,3,0.76,1.0267515182495117
76,4,0.76,1.0354321002960205
76,5,0.76,1.0471736192703247
76,6,0.76,1.0039844512939453
76,7,0.76,1.028775930404663
77,0,0.77,1.0587350130081177
77,1,0.77,1.0015413761138916
77,2,0.77,1.0368669033050537
77,3,0.77,1.026221752166748
77,4,0.77,1.0347305536270142
77,5,0.77,1.0462394952774048
77,6,0.77,1.0039055347442627
77,7,0.77,1.0282061100006104
78,0,0.78,1.0575720071792603
78,1,0.78,1.0015108585357666
78,2,0.78,1.0361368656158447
78,3,0.78,1.0257024765014648
78,4,0.78,1.0340428352355957
78,5,0.78,1.0453238487243652
78,6,0.78,1.0038281679153442
78,7,0.78,1.027647614479065
79,0,0.79,1.0564320087432861
79,1,0.79,1.0014809370040894
79,2,0.79,1.0354212522506714
79,3,0.79,1.0251935720443726
79,4,0.79,1.033368706703186
79,5,0.79,1.0444263219833374
79,6,0.79,1.00375235080719
79,7,0.79,1.0271002054214478
80,0,0.8,1.055314540863037
80,1,0.8,1.0014516115188599
80,2,0.8,1.0347198247909546
80,3,0.8,1.0246946811676025
80,4,0.8,1.032707929611206
80,5,0.8,1.0435466766357422
80,6,0.8,1.0036780834197998
80,7,0.8,1.0265636444091797
81,0,0.81,1.0542192459106445
81,1,0.81,1.0014228820800781
81,2,0.81,1.0340323448181152
81,3,0.81,1.0242056846618652
81,4,0.81,1.0320602655410767
81,5,0.81,1.0426844358444214
81,6,0.81,1.0036052465438843
81,7,0.81,1.0260376930236816
82,0,0.82,1.0531456470489502
82,1,0.82,1.0013947486877441
82,2,0.82,1.0333584547042847
82,3,0.82,1.0237263441085815
82,4,0.82,1.0314254760742188
82,5,0.82,1.0418392419815063
82,6,0.82,1.0035338401794434
82,7,0.82,1.0255221128463745
83,0,0.83,1.052093267440796
83,1,0.83,1.0013670921325684
83,2,0.83,1.0326979160308838
83,3,0.83,1.023256540298462
83,4,0.83,1.0308032035827637
83,5,0.83,1.0410107374191284
83,6,0.83,1.003463864326477
83,7,0.83,1.0250167846679688
84,0,0.84,1.051061749458313
84,1,0.84,1.0013400316238403
84,2,0.84,1.0320504903793335
84,3,0.84,1.0227960348129272
84,4,0.84,1.0301932096481323
84,5,0.84,1.0401986837387085
84,6,0.84,1.0033953189849854
84,7,0.84,1.0245214700698853
85,0,0.85,1.0500506162643433
85,1,0.85,1.0013134479522705
85,2,0.85,1.0314158201217651
85,3,0.85,1.0223445892333984
85,4,0.85,1.0295953750610352
85,5,0.85,1.039402723312378
85,6,0.85,1.0033280849456787
85,7,0.85,1.024035930633545
86,0,0.86,1.049059510231018
86,1,0.86,1.0012874603271484
86,2,0.86,1.0307937860488892
86,3,0.86,1.021902084350586
86,4,0.86,1.0290093421936035
86,5,0.86,1.038622498512268
86,6,0.86,1.0032621622085571
86,7,0.86,1.0235600471496582
87,0,0.87,1.0480880737304688
87,1,0.87,1.0012619495391846
87,2,0.87,1.030184030532837
87,3,0.87,1.0214684009552002
87,4,0.87,1.0284348726272583
87,5,0.87,1.0378577709197998
87,6,0.87,1.0031975507736206
87,7,0.87,1.023093581199646
88,0,0.88,1.047135829925537
88,1,0.88,1.001236915588379
88,2,0.88,1.0295863151550293
88,3,0.88,1.021043300628662
88,4,0.88,1.02787184715271
88,5,0.88,1.0371081829071045
88,6,0.88,1.0031342506408691
88,7,0.88,1.0226362943649292
89,0,0.89,1.0462024211883545
89,1,0.89,1.001212477684021
89,2,0.89,1.0290005207061768
89,3,0.89,1.0206266641616821
89,4,0.89,1.0273199081420898
89,5,0.89,1.0363733768463135
89,6,0.89,1.0030721426010132
89,7,0.89,1.0221880674362183
90,0,0.9,1.0452876091003418
