step,env_id,time_s,wrench_magnitude
193,3,1.93,1.2876617908477783
194,0,1.94,1.1923398971557617
194,1,1.94,2.781580686569214
194,2,1.94,3.0187573432922363
194,3,1.94,1.3593288660049438
195,0,1.95,1.1173553466796875
195,1,1.95,2.6647515296936035
195,2,1.95,2.921769380569458
195,3,1.95,1.1389853954315186
196,0,1.96,1.2238293886184692
196,1,1.96,2.702907085418701
196,2,1.96,3.008139133453369
196,3,1.96,0.8447166681289673
197,0,1.97,1.422204613685608
197,1,1.97,2.9018471240997314
197,2,1.97,2.9800703525543213
197,3,1.97,0.8510875701904297
198,0,1.98,1.1968029737472534
198,1,1.98,2.853729248046875
198,2,1.98,3.091122627258301
198,3,1.98,0.8808705806732178
199,0,1.99,1.4568840265274048
199,1,1.99,2.7967400550842285
